IP,性别,年龄段,学历,职业,收入,了解程度得分,驾驶水平,购无人驾驶车意愿,购车理由_减少疲惫感,购车理由_减少事故,购车理由_提高效率,购车理由_节能环保,购车理由_技术发达,不购车理由_安全问题,不购车理由_技术不成熟,不购车理由_质量不行,不购车理由_法规不完善,不购车理由_喜欢手动,是否尝试过,满意度,需加强方面,场景想象
39.144.145.90(云南-昆明),女,18～24,研究生及以上,建筑工程,2001元-5000元,2,好,愿意,一般,非常不同意,不同意,一般,同意,(跳过),(跳过),(跳过),(跳过),(跳过),是,一般,消费者的认知和接受度不高┋政策对汽车的支持力度┋汽车生产管理的协同程度┋对乘客的个人隐私保护┋事故发生的权责划分┋识别障碍与路况的能力┋智能化程度不足(如灵活加速/加塞)   ,无法保证安全
39.128.238.47(云南-丽江),女,36～54,本科,其他,10001元-50000元,1,一般,不愿意,(跳过),(跳过),(跳过),(跳过),(跳过),非常不同意,非常不同意,一般,不同意,不同意,否,(跳过),消费者的认知和接受度不高┋政策对汽车的支持力度┋汽车生产管理的协同程度┋对乘客的个人隐私保护┋事故发生的权责划分┋识别障碍与路况的能力┋智能化程度不足(如灵活加速/加塞)   ,很好，解决了人工服务
58.16.2.171(贵州-贵阳),女,18～24,本科,其他,2000元及以下,1,一般,愿意,一般,一般,同意,同意,一般,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),消费者的认知和接受度不高┋政策对汽车的支持力度┋汽车生产管理的协同程度┋对乘客的个人隐私保护┋事故发生的权责划分┋识别障碍与路况的能力┋智能化程度不足(如灵活加速/加塞)   ,交通事故减少，
223.104.69.92(广东-佛山),男,18～24,本科,其他,7501元-10000元,3,非常好,非常愿意,一般,一般,一般,同意,一般,(跳过),(跳过),(跳过),(跳过),(跳过),是,一般,消费者的认知和接受度不高┋汽车生产管理的协同程度┋对乘客的个人隐私保护┋事故发生的权责划分┋识别障碍与路况的能力┋智能化程度不足(如灵活加速/加塞)   ,可能是让阿烟能在车里抽烟
111.55.13.72(广西-南宁),女,18～24,本科,学生,2000元及以下,1,非常不好或无驾照,愿意,同意,同意,同意,同意,一般,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),消费者的认知和接受度不高┋政策对汽车的支持力度┋汽车生产管理的协同程度┋对乘客的个人隐私保护┋事故发生的权责划分┋识别障碍与路况的能力┋智能化程度不足(如灵活加速/加塞)   ,上班路上可以做别的事情
39.144.93.157(内蒙古-赤峰),女,18～24,本科,学生,2000元及以下,2,一般,愿意,非常不同意,一般,同意,非常同意,同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),消费者的认知和接受度不高┋对乘客的个人隐私保护┋事故发生的权责划分┋识别障碍与路况的能力┋智能化程度不足(如灵活加速/加塞)   ,大街上车里驾驶座都没人。可以有更多时间休息。安全隐患问题。
183.206.231.63(江苏-苏州),男,18～24,本科,学生,2000元及以下,3,一般,不愿意,(跳过),(跳过),(跳过),(跳过),(跳过),同意,一般,一般,同意,同意,否,(跳过),对乘客的个人隐私保护┋事故发生的权责划分┋识别障碍与路况的能力,无
171.114.145.249(湖北-咸宁),女,18～24,本科,其他,2000元及以下,1,非常不好或无驾照,不愿意,(跳过),(跳过),(跳过),(跳过),(跳过),同意,一般,一般,一般,一般,否,(跳过),消费者的认知和接受度不高┋政策对汽车的支持力度┋汽车生产管理的协同程度┋对乘客的个人隐私保护┋事故发生的权责划分┋识别障碍与路况的能力┋智能化程度不足(如灵活加速/加塞)   ,更方便更科技
182.118.233.210(河南-洛阳),男,18～24,本科,学生,2000元及以下,1,一般,愿意,一般,一般,一般,一般,一般,(跳过),(跳过),(跳过),(跳过),(跳过),是,满意,政策对汽车的支持力度,方便
183.157.179.220(浙江-杭州),女,18～24,研究生及以上,学生,2001元-5000元,1,一般,愿意,非常同意,一般,一般,一般,同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),消费者的认知和接受度不高┋汽车生产管理的协同程度┋对乘客的个人隐私保护┋事故发生的权责划分┋识别障碍与路况的能力┋智能化程度不足(如灵活加速/加塞)   ,场景：所有交通工具都由AI控制。正面：人类可以在通勤路上得到更好的休息。负面：AI失灵可能会导致灾难性的结果
223.246.10.168(安徽-合肥),女,18～24,大专,教育,2001元-5000元,4,一般,不愿意,(跳过),(跳过),(跳过),(跳过),(跳过),非常同意,非常同意,非常同意,非常同意,一般,是,一般,政策对汽车的支持力度┋汽车生产管理的协同程度┋对乘客的个人隐私保护┋事故发生的权责划分┋识别障碍与路况的能力┋智能化程度不足(如灵活加速/加塞)   ,汽车使用更便利。提高交通效率但就业和安全问题堪忧
39.144.155.153(江苏-南通),女,18～24,本科,学生,2001元-5000元,1,非常不好或无驾照,愿意,非常同意,一般,非常同意,一般,一般,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),事故发生的权责划分,正面 省时省力轻松 且易于调度可以宏观调控避免高峰期堵车 负面责任落实不清楚
39.161.242.41(江西-南昌),女,18～24,本科,学生,2000元及以下,1,非常不好或无驾照,愿意,非常同意,非常同意,非常同意,非常同意,一般,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),事故发生的权责划分┋识别障碍与路况的能力,我觉得可能交通事故会少很多，通勤效率可以大大提升。但是无人驾驶的话，有可能造成出了意外，不确定由谁赔偿的问题。
106.92.29.89(重庆-重庆),男,18～24,本科,其他,2000元及以下,1,一般,愿意,一般,不同意,不同意,同意,同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),消费者的认知和接受度不高┋汽车生产管理的协同程度,出租车、网约车大概率会被逐渐淘汰，进一步加剧就业压力吧
39.144.138.241(四川-成都),男,18～24,本科,学生,2001元-5000元,1,一般,愿意,同意,一般,一般,一般,不同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),消费者的认知和接受度不高┋政策对汽车的支持力度┋汽车生产管理的协同程度┋对乘客的个人隐私保护┋事故发生的权责划分┋识别障碍与路况的能力┋智能化程度不足(如灵活加速/加塞)   ,事故减少还原现场，生活便利，出租车驾校等失业问题
111.181.132.156(湖北-武汉),女,18～24,本科,学生,2001元-5000元,2,非常不好或无驾照,非常愿意,非常同意,非常同意,一般,同意,同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),消费者的认知和接受度不高┋事故发生的权责划分┋识别障碍与路况的能力┋智能化程度不足(如灵活加速/加塞)   ,马路上无人车辆普遍，正面可能减少人司机疲劳驾驶、醉驾、酒驾带来的主观人为隐患，带来的马路交通危险。负面可能出现像现在武汉的萝卜快跑那样的“无人车感应障碍物，与空气互相礼让”，造成交通堵塞。
39.144.59.36(辽宁-沈阳),男,18～24,本科,学生,2000元及以下,3,好,愿意,一般,一般,一般,一般,一般,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),汽车生产管理的协同程度┋对乘客的个人隐私保护┋事故发生的权责划分,无
116.162.134.48(湖南-长沙),男,18岁以下,大专,信息技术,2000元及以下,2,非常不好或无驾照,不愿意,(跳过),(跳过),(跳过),(跳过),(跳过),同意,非常同意,不同意,非常不同意,一般,否,(跳过),汽车生产管理的协同程度┋对乘客的个人隐私保护┋事故发生的权责划分┋识别障碍与路况的能力┋智能化程度不足(如灵活加速/加塞)   ,不要考驾驶证了，容易出交通事故。
42.88.138.1(甘肃-酒泉),女,18～24,本科,学生,2000元及以下,1,一般,愿意,同意,一般,同意,同意,同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),消费者的认知和接受度不高┋政策对汽车的支持力度┋汽车生产管理的协同程度┋对乘客的个人隐私保护┋事故发生的权责划分┋识别障碍与路况的能力┋智能化程度不足(如灵活加速/加塞)   ,智能打车更方便，减少交通违规；但一旦发生事故，法律追责较难
39.144.59.150(辽宁-沈阳),女,18～24,本科,制造,2001元-5000元,3,好,愿意,同意,同意,同意,同意,同意,(跳过),(跳过),(跳过),(跳过),(跳过),是,满意,消费者的认知和接受度不高┋政策对汽车的支持力度┋汽车生产管理的协同程度,上班，不堵车
39.144.124.174(浙江-杭州),男,25～35,本科,建筑工程,2001元-5000元,1,非常不好或无驾照,不愿意,(跳过),(跳过),(跳过),(跳过),(跳过),同意,非常同意,同意,非常同意,非常同意,否,(跳过),消费者的认知和接受度不高┋汽车生产管理的协同程度┋事故发生的权责划分┋识别障碍与路况的能力,便捷高效
117.182.215.234(广西-玉林),女,25～35,高中及以下,其他,50001元及以上,1,非常好,愿意,非常同意,非常同意,一般,一般,一般,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),消费者的认知和接受度不高┋政策对汽车的支持力度┋汽车生产管理的协同程度┋对乘客的个人隐私保护┋事故发生的权责划分┋识别障碍与路况的能力┋智能化程度不足(如灵活加速/加塞)   ,不知
36.1.87.190(海南-三亚),男,36～54,本科,建筑工程,5001元-7500元,1,好,愿意,同意,同意,一般,同意,同意,(跳过),(跳过),(跳过),(跳过),(跳过),是,一般,对乘客的个人隐私保护┋事故发生的权责划分,无
223.64.86.115(江苏-苏州),女,36～54,大专,制造,50001元及以上,1,好,不愿意,(跳过),(跳过),(跳过),(跳过),(跳过),非常同意,非常同意,一般,非常同意,同意,否,(跳过),消费者的认知和接受度不高┋汽车生产管理的协同程度┋识别障碍与路况的能力,不清楚
223.104.68.25(广东-深圳),男,25～35,大专,交通运输,10001元-50000元,1,一般,愿意,同意,一般,同意,同意,一般,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),消费者的认知和接受度不高┋政策对汽车的支持力度┋对乘客的个人隐私保护┋识别障碍与路况的能力,没有改变
219.156.83.83(河南-郑州),女,25～35,本科,制造,7501元-10000元,1,好,愿意,不同意,一般,一般,一般,同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),消费者的认知和接受度不高┋政策对汽车的支持力度┋汽车生产管理的协同程度,无
183.202.76.133(山西-晋城),女,25～35,本科,建筑工程,5001元-7500元,2,一般,愿意,同意,非常同意,同意,同意,同意,(跳过),(跳过),(跳过),(跳过),(跳过),是,满意,政策对汽车的支持力度┋对乘客的个人隐私保护,无
221.197.234.50(天津-天津),男,25～35,本科,信息技术,5001元-7500元,2,非常好,愿意,非常同意,同意,非常同意,非常同意,非常同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),政策对汽车的支持力度┋对乘客的个人隐私保护,/
111.55.148.35(四川-广元),女,36～54,本科,教育,7501元-10000元,2,一般,愿意,一般,非常不同意,不同意,同意,不同意,(跳过),(跳过),(跳过),(跳过),(跳过),是,一般,政策对汽车的支持力度┋对乘客的个人隐私保护┋事故发生的权责划分,无
223.104.155.88(江苏-南京),男,25～35,高中及以下,医疗保健,5001元-7500元,3,好,愿意,同意,同意,一般,非常同意,非常同意,(跳过),(跳过),(跳过),(跳过),(跳过),是,满意,消费者的认知和接受度不高┋政策对汽车的支持力度┋汽车生产管理的协同程度┋事故发生的权责划分┋识别障碍与路况的能力,没有
39.144.86.98(河北-沧州),男,36～54,大专,制造,2001元-5000元,2,一般,愿意,同意,同意,同意,非常同意,一般,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),汽车生产管理的协同程度┋事故发生的权责划分┋识别障碍与路况的能力,无
106.80.161.15(重庆-重庆),男,25～35,本科,医疗保健,2001元-5000元,4,一般,非常愿意,非常不同意,同意,不同意,一般,非常不同意,(跳过),(跳过),(跳过),(跳过),(跳过),是,一般,消费者的认知和接受度不高┋政策对汽车的支持力度┋汽车生产管理的协同程度┋对乘客的个人隐私保护┋识别障碍与路况的能力,无
223.104.78.194(广东-广州),男,25～35,本科,交通运输,7501元-10000元,1,好,不愿意,(跳过),(跳过),(跳过),(跳过),(跳过),不同意,非常不同意,一般,不同意,非常不同意,否,(跳过),消费者的认知和接受度不高┋事故发生的权责划分┋识别障碍与路况的能力,网约车司机会失业
116.232.66.192(上海-上海),男,25～35,大专,制造,5001元-7500元,1,好,愿意,同意,一般,一般,一般,一般,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),消费者的认知和接受度不高┋政策对汽车的支持力度┋汽车生产管理的协同程度┋对乘客的个人隐私保护┋事故发生的权责划分┋识别障碍与路况的能力┋智能化程度不足(如灵活加速/加塞)   ,更方便出行
110.19.150.246(内蒙古-呼和浩特),女,25～35,本科,信息技术,5001元-7500元,1,非常不好或无驾照,愿意,非常同意,同意,非常同意,一般,非常同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),消费者的认知和接受度不高┋政策对汽车的支持力度┋汽车生产管理的协同程度┋对乘客的个人隐私保护┋事故发生的权责划分┋识别障碍与路况的能力┋智能化程度不足(如灵活加速/加塞)   ,井然有序
116.178.122.198(新疆-乌鲁木齐),女,25～35,本科,信息技术,7501元-10000元,3,好,愿意,非常同意,同意,非常同意,同意,同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),政策对汽车的支持力度┋对乘客的个人隐私保护┋事故发生的权责划分,无
120.231.120.193(广东-中山),女,25～35,本科,信息技术,5001元-7500元,1,一般,愿意,同意,一般,同意,一般,一般,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),消费者的认知和接受度不高┋政策对汽车的支持力度┋汽车生产管理的协同程度┋事故发生的权责划分┋识别障碍与路况的能力┋智能化程度不足(如灵活加速/加塞)   ,大家不用考驾照了，懂规则的人更少了，但是人更方便了
112.0.10.234(江苏-盐城),女,25～35,本科,医疗保健,2001元-5000元,1,好,愿意,同意,一般,同意,同意,同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),消费者的认知和接受度不高┋政策对汽车的支持力度┋事故发生的权责划分┋识别障碍与路况的能力┋智能化程度不足(如灵活加速/加塞)   ,无
223.104.123.106(湖北-宜昌),男,25～35,本科,制造,7501元-10000元,3,好,非常愿意,同意,非常同意,同意,非常同意,同意,(跳过),(跳过),(跳过),(跳过),(跳过),是,满意,消费者的认知和接受度不高┋汽车生产管理的协同程度┋事故发生的权责划分┋识别障碍与路况的能力,更加方便轻松出行
223.73.222.202(广东-佛山),男,36～54,大专,其他,2001元-5000元,1,一般,愿意,一般,同意,一般,不同意,一般,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),消费者的认知和接受度不高┋政策对汽车的支持力度┋对乘客的个人隐私保护,不知道
116.232.16.26(上海-上海),女,25～35,本科,信息技术,10001元-50000元,1,一般,非常愿意,同意,同意,非常同意,非常同意,非常同意,(跳过),(跳过),(跳过),(跳过),(跳过),是,一般,消费者的认知和接受度不高┋政策对汽车的支持力度┋汽车生产管理的协同程度,便捷额
223.104.40.112(北京-北京),女,18～24,本科,制造,2000元及以下,1,一般,愿意,同意,同意,同意,一般,一般,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),消费者的认知和接受度不高┋政策对汽车的支持力度┋汽车生产管理的协同程度┋对乘客的个人隐私保护┋事故发生的权责划分┋识别障碍与路况的能力┋智能化程度不足(如灵活加速/加塞)   ,正面：事故可能会减少，疲劳驾驶少
112.47.78.15(福建-泉州),女,25～35,本科,医疗保健,2001元-5000元,1,好,愿意,不同意,非常同意,同意,一般,非常同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),政策对汽车的支持力度┋对乘客的个人隐私保护┋事故发生的权责划分,挺好
106.61.242.19(云南-昆明),男,25～35,研究生及以上,建筑工程,7501元-10000元,1,非常好,非常愿意,不同意,同意,非常同意,非常同意,同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),汽车生产管理的协同程度┋事故发生的权责划分,交通系统性增强
183.253.35.165(福建-厦门),女,25～35,本科,其他,5001元-7500元,1,一般,愿意,同意,一般,同意,非常同意,同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),消费者的认知和接受度不高┋政策对汽车的支持力度┋汽车生产管理的协同程度┋对乘客的个人隐私保护┋事故发生的权责划分┋识别障碍与路况的能力┋智能化程度不足(如灵活加速/加塞)   ,新出一些新的就业机会
36.113.30.141(江苏-南京),女,18～24,本科,信息技术,2000元及以下,2,好,非常愿意,同意,一般,同意,一般,同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),消费者的认知和接受度不高┋政策对汽车的支持力度┋汽车生产管理的协同程度┋对乘客的个人隐私保护┋事故发生的权责划分┋识别障碍与路况的能力┋智能化程度不足(如灵活加速/加塞)   ,有自我辨识能力
39.144.219.43(重庆-重庆),女,25～35,本科,教育,7501元-10000元,2,一般,愿意,同意,一般,一般,一般,同意,(跳过),(跳过),(跳过),(跳过),(跳过),是,满意,政策对汽车的支持力度┋事故发生的权责划分┋识别障碍与路况的能力┋智能化程度不足(如灵活加速/加塞)   ,负面影响
106.41.250.151(吉林-长春),女,18～24,本科,学生,2000元及以下,2,一般,愿意,非常同意,非常同意,非常同意,非常同意,非常同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),事故发生的权责划分,生活将会充满便利
103.131.153.93(北京-北京),女,18～24,本科,学生,2001元-5000元,1,一般,不愿意,(跳过),(跳过),(跳过),(跳过),(跳过),非常同意,非常同意,非常同意,非常同意,非常同意,否,(跳过),消费者的认知和接受度不高┋政策对汽车的支持力度┋事故发生的权责划分┋识别障碍与路况的能力┋智能化程度不足(如灵活加速/加塞)   ,有可能经常发生交通事故
150.242.79.233(北京-北京),女,18～24,本科,学生,2001元-5000元,1,一般,不愿意,(跳过),(跳过),(跳过),(跳过),(跳过),非常同意,非常同意,一般,同意,非常不同意,否,(跳过),政策对汽车的支持力度┋事故发生的权责划分┋识别障碍与路况的能力┋智能化程度不足(如灵活加速/加塞)   ,都是无人驾驶 可能更安全少了路怒症 一旦厂家后台出现bug可能有不可预估的严重后果
218.56.33.90(山东-烟台),女,18～24,研究生及以上,学生,2001元-5000元,2,一般,非常愿意,同意,同意,非常同意,不同意,一般,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),消费者的认知和接受度不高┋政策对汽车的支持力度┋事故发生的权责划分┋识别障碍与路况的能力┋智能化程度不足(如灵活加速/加塞)   ,可能大家不需要再考驾照了？
49.94.53.31(江苏-南京),女,18～24,本科,学生,2000元及以下,1,好,愿意,同意,一般,同意,同意,非常同意,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),政策对汽车的支持力度┋事故发生的权责划分┋识别障碍与路况的能力,便捷
